epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3164.78,0.71219,1.29782,0.51551,0.92706,0.9176,0.55708,0.76141,0.60662,0.85897,0.52863,0.64905,0.50635,0.8516,1.24794,0.70646,0.8605,0.000742815,0.000742815,0.000742815
30,3273.45,0.70439,1.25126,0.50964,0.92044,0.88618,0.64063,0.76245,0.60967,0.78722,0.57375,0.63812,0.49859,0.86388,1.19106,0.76296,0.84519,0.000709809,0.000709809,0.000709809
31,3382.23,0.68028,1.23246,0.48709,0.91894,0.89538,0.63299,0.77217,0.61484,0.81253,0.57683,0.64531,0.50147,0.84062,1.2425,0.67308,0.84157,0.000676802,0.000676802,0.000676802
32,3490.82,0.69062,1.23492,0.49798,0.92487,0.86524,0.71027,0.78204,0.62044,0.75916,0.63376,0.65528,0.50939,0.8449,1.20914,0.63669,0.84942,0.000643795,0.000643795,0.000643795
33,3599.55,0.67055,1.20057,0.48509,0.91833,0.82029,0.6524,0.77697,0.62466,0.78488,0.57978,0.66796,0.51613,0.80019,1.2193,0.62027,0.83662,0.000610789,0.000610789,0.000610789
34,3708.46,0.67394,1.24654,0.48303,0.91972,0.86424,0.65104,0.77231,0.6162,0.78048,0.59593,0.66332,0.5143,0.83166,1.20549,0.61085,0.85483,0.000577782,0.000577782,0.000577782
35,3817.11,0.68296,1.23629,0.49008,0.91807,0.84685,0.69223,0.78535,0.62421,0.77247,0.61739,0.66671,0.51447,0.81408,1.15957,0.58243,0.83545,0.000544776,0.000544776,0.000544776
36,3925.69,0.67183,1.21347,0.48258,0.9166,0.83417,0.68904,0.78077,0.62833,0.77583,0.61148,0.66685,0.50978,0.78931,1.17733,0.6104,0.83176,0.000511769,0.000511769,0.000511769
37,4034.4,0.67166,1.19136,0.47646,0.914,0.82124,0.72159,0.78129,0.63041,0.73476,0.63355,0.65565,0.50883,0.82713,1.24553,0.62395,0.83866,0.000478762,0.000478762,0.000478762
38,4142.94,0.66354,1.18476,0.47195,0.91154,0.8355,0.71558,0.7879,0.62138,0.74943,0.63915,0.6685,0.51052,0.85612,1.1689,0.66798,0.85194,0.000445756,0.000445756,0.000445756
39,4251.48,0.66517,1.17557,0.47579,0.91411,0.84266,0.71081,0.78683,0.62679,0.74517,0.63437,0.65536,0.50968,0.81259,1.16523,0.6251,0.83453,0.000412749,0.000412749,0.000412749
40,4359.98,0.65902,1.21243,0.47105,0.9121,0.83963,0.72347,0.785,0.63071,0.7529,0.63288,0.6571,0.50161,0.80955,1.31564,0.6087,0.84008,0.000379743,0.000379743,0.000379743
41,4469.9,0.86915,1.42543,0.5933,0.87238,0.83018,0.75041,0.79129,0.635,0.74523,0.65976,0.67051,0.52042,0.79139,1.25338,0.56005,0.83093,0.000346736,0.000346736,0.000346736
42,4578.04,0.86011,1.38508,0.58136,0.86679,0.83263,0.74648,0.79333,0.64191,0.76453,0.66532,0.68821,0.53141,0.78967,1.15019,0.54353,0.82629,0.000313729,0.000313729,0.000313729
43,4685.83,0.84304,1.32846,0.56407,0.86916,0.83497,0.75041,0.7952,0.64581,0.75919,0.6717,0.68808,0.528,0.765,1.15249,0.54593,0.82157,0.000280723,0.000280723,0.000280723
44,4793.82,0.84917,1.361,0.56523,0.86484,0.81494,0.764,0.79578,0.64301,0.73277,0.66485,0.67328,0.5219,0.76517,1.19966,0.54489,0.81027,0.000247716,0.000247716,0.000247716
45,4901.65,0.82893,1.31591,0.54468,0.86124,0.80856,0.75402,0.79137,0.635,0.72616,0.66591,0.66986,0.5197,0.7829,1.17139,0.55642,0.81963,0.00021471,0.00021471,0.00021471
46,5009.51,0.82043,1.29265,0.53876,0.85806,0.83019,0.75486,0.79872,0.6451,0.75131,0.65529,0.66862,0.52385,0.77338,1.13716,0.54802,0.82005,0.000181703,0.000181703,0.000181703
47,5117.39,0.81674,1.30681,0.55401,0.85686,0.79668,0.76349,0.79074,0.63617,0.75556,0.65529,0.68142,0.52934,0.7701,1.12372,0.53263,0.81686,0.000148696,0.000148696,0.000148696
48,5225.09,0.82295,1.27683,0.53419,0.85948,0.80628,0.76606,0.79646,0.64408,0.75225,0.65476,0.67393,0.52756,0.75211,1.1184,0.53757,0.80738,0.00011569,0.00011569,0.00011569
49,5333.06,0.81296,1.26948,0.5271,0.85572,0.80568,0.77162,0.79888,0.64663,0.75608,0.65233,0.67806,0.52614,0.75141,1.13878,0.53965,0.81025,8.26832e-05,8.26832e-05,8.26832e-05
50,5440.83,0.80534,1.25608,0.52509,0.85536,0.80796,0.77196,0.80085,0.64559,0.76099,0.65872,0.67728,0.52415,0.75932,1.10902,0.53282,0.81337,4.96766e-05,4.96766e-05,4.96766e-05
