                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.045195,               0.028259,               0.047218,              0.0013518,                0.82853,                0.77884,                0.82065,                0.61986,                0.72806,                0.67352,                0.66788,                0.51017,               0.037985,               0.025626,               0.033755,               0.001656,               0.005446,               0.005446,               0.005446
                     25,               0.044411,               0.027541,               0.045149,               0.001281,                0.82615,                0.77779,                0.81895,                0.60374,                0.71814,                0.66898,                0.66177,                  0.513,               0.037755,               0.024423,               0.034105,               0.001714,               0.005248,               0.005248,               0.005248
                     26,               0.044318,               0.027434,               0.044766,              0.0012426,                0.86292,                0.73872,                0.80841,                0.58431,                0.75086,                0.64052,                0.66008,                0.50778,               0.037994,               0.024304,               0.034643,                0.00169,                0.00505,                0.00505,                0.00505
                     27,               0.043931,               0.026745,                0.04539,              0.0010913,                0.82868,                0.77921,                0.82139,                 0.5939,                0.73593,                0.68846,                0.68101,                0.52004,               0.038756,               0.023715,               0.034178,                0.00169,               0.004852,               0.004852,               0.004852
                     28,               0.043817,               0.027982,               0.045279,              0.0011713,                0.81781,                0.77917,                0.81229,                0.62436,                0.73432,                0.67584,                0.68374,                 0.5182,               0.036423,               0.024831,                0.03518,              0.0016934,               0.004654,               0.004654,               0.004654
                     29,               0.043367,               0.026682,               0.043154,              0.0011795,                0.80153,                0.80012,                0.81551,                0.63682,                0.70557,                0.70238,                0.67309,                0.52364,               0.035976,               0.027319,               0.034457,              0.0016665,               0.004456,               0.004456,               0.004456
                     30,               0.042429,               0.027284,               0.042777,              0.0012087,                 0.8052,                0.78743,                0.80795,                0.63119,                0.71148,                0.69295,                0.67086,                0.51198,               0.036535,               0.024788,                 0.0356,              0.0017126,               0.004258,               0.004258,               0.004258
                     31,               0.041922,                0.02618,               0.043524,             0.00097708,                0.82516,                0.78228,                0.81422,                0.61625,                0.71851,                0.69423,                0.67731,                0.51828,               0.035969,               0.025284,               0.033878,              0.0016548,                0.00406,                0.00406,                0.00406
                     32,               0.042243,                0.02591,               0.041861,              0.0010115,                0.82262,                0.78108,                0.81375,                0.63076,                0.71518,                0.67616,                0.66189,                0.50614,               0.035613,               0.026098,               0.035428,              0.0020464,               0.003862,               0.003862,               0.003862
                     33,               0.041842,               0.025954,                0.04238,              0.0010019,                0.84897,                0.76551,                0.80386,                0.62934,                0.74565,                0.66922,                0.66147,                0.50872,               0.035683,               0.025834,               0.035711,              0.0016744,               0.003664,               0.003664,               0.003664
                     34,               0.041218,               0.025633,               0.042325,             0.00092137,                 0.8432,                0.77649,                0.81392,                0.64689,                0.74327,                0.68812,                0.67726,                0.52669,               0.035569,               0.024661,               0.035427,              0.0017231,               0.003466,               0.003466,               0.003466
