                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,                0.05037,               0.031833,               0.050787,              0.0017138,                0.83138,                0.77178,                0.81377,                0.57697,                0.71825,                0.66606,                0.66904,                0.50485,               0.040974,               0.026005,               0.032909,              0.0014544,               0.005446,               0.005446,               0.005446
                     25,               0.049291,               0.030379,               0.049253,               0.001563,                0.83122,                0.76518,                0.80243,                0.58328,                0.73454,                0.67734,                0.67622,                 0.4968,               0.039954,               0.026611,               0.032559,              0.0016184,               0.005248,               0.005248,               0.005248
                     26,               0.049573,               0.029217,               0.048896,              0.0013109,                0.84415,                0.75156,                 0.8044,                0.58776,                0.74419,                0.64541,                0.66023,                0.49662,               0.039025,               0.025163,               0.032671,              0.0015091,                0.00505,                0.00505,                0.00505
                     27,               0.049045,               0.029976,               0.047753,              0.0014853,                0.83398,                0.77217,                0.80805,                0.59721,                0.74296,                0.66601,                0.66576,                0.50836,               0.040192,               0.025261,               0.033177,              0.0016561,               0.004852,               0.004852,               0.004852
                     28,               0.047944,               0.030492,               0.049486,              0.0015259,                0.83241,                0.77753,                0.81275,                0.59991,                0.74643,                0.66892,                0.67377,                0.50984,               0.038869,               0.026185,               0.032775,                0.00155,               0.004654,               0.004654,               0.004654
                     29,               0.049125,               0.029362,               0.048887,              0.0014336,                0.84088,                0.77468,                0.81953,                 0.5955,                 0.7382,                0.66795,                0.65944,                 0.4968,               0.039227,               0.027365,               0.032487,              0.0014917,               0.004456,               0.004456,               0.004456
                     30,               0.047287,               0.029676,               0.047296,              0.0014163,                0.83997,                0.74707,                0.80694,                0.59463,                0.73618,                0.65062,                0.66167,                0.50317,               0.039949,               0.027207,               0.032748,              0.0017279,               0.004258,               0.004258,               0.004258
                     31,                0.04774,               0.029282,               0.048174,              0.0013489,                0.85615,                0.74832,                 0.8106,                 0.5966,                0.75314,                0.64205,                0.66053,                0.49699,               0.039589,               0.027205,               0.032399,              0.0014897,                0.00406,                0.00406,                0.00406
                     32,               0.047534,               0.028838,               0.047137,              0.0013892,                0.85588,                0.75241,                0.81882,                0.59911,                0.74175,                0.65262,                 0.6686,                0.51212,               0.039231,               0.027365,               0.032312,              0.0015228,               0.003862,               0.003862,               0.003862
                     33,               0.047307,               0.029021,               0.047905,              0.0013591,                0.84559,                0.75797,                0.81682,                0.59924,                 0.7553,                0.64913,                0.67393,                0.49457,                0.03865,               0.026148,               0.032634,              0.0014974,               0.003664,               0.003664,               0.003664
